X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
1311.631,67.25574,1311.6911927097235,67.14239059405574,0.0045482405,0.0044643455,259.8663583226788,57.77486165694344,3.666139,0.0007935586,158147.67,173.72864,804.1893,1.0360606,2813.1414,-12.997657,0.0011929945,0,6.178584,0.8958738,0,41,1311.5957816243172,67.2764943242073,175199.97,592.8538,-13.108835,0.0036748822,1.0,0.0,g,26.481975967407227,20251017140-542
368.1046,51.881607,368.18822729328275,51.82284008030612,0.008756693,0.008647791,259.94722804906047,57.872180490345,3.4433608,0.0007869835,40358.176,91.58909,402.21127,1.0385957,790.6263,-11.514829,0.002464575,0,4.366137,0.6371341,0,34,368.2293282300234,51.80035012960434,48810.414,137.96214,-11.721281,0.003069568,1.0,0.0,g,26.481975967407227,20251017140-542
1569.5701,6.183052,1569.5958009303868,5.591087497726821,0.007444152,0.007379332,259.85714358761146,57.745392850518066,3.4040356,0.00084623706,52372.25,102.43646,465.5201,1.1226195,1055.2517,-11.797753,0.00212414,24,7.201627,0.92029357,0,79,1569.5369161367416,5.430284202098846,67273.24,315.80255,-12.069606,0.0050980384,1.0,0.0,g,26.481975967407227,20251017140-542
1308.152,1005.3976,1308.180894174128,1005.3276850633995,0.015749978,0.015508995,259.68342686468424,57.81590470773919,3.1737905,0.00079120824,12456.343,55.07173,215.53816,1.0431416,273.49664,-10.238477,0.0048014014,0,5.918887,0.42464054,0,43,1308.118024609983,1005.4044792354107,17902.062,100.78501,-10.632257,0.006113962,1.0,0.0,g,26.481975967407227,20251017140-542
548.0357,1103.2242,548.0441874104479,1102.9468828478648,0.045041777,0.037052736,259.726680988039,57.89916888939248,2.1597087,0.00085466565,1308.6456,21.507448,57.285583,3.032995,84.245995,-7.792055,0.017848292,24,5.5352006,0.46084565,0,110,548.1419512480497,1105.814757823944,6433.2383,149.31038,-9.521074,0.025205202,1.0,0.0,g,26.481975967407227,20251017140-542
1482.2642,985.73883,1482.3111431401699,985.6208918634086,0.0047844285,0.0046799732,259.6730274789049,57.796943419155156,3.6411307,0.00079959905,141859.47,164.78754,763.0542,1.0360253,2508.2068,-12.879645,0.001261525,0,7.895034,0.88282895,0,90,1482.310962408781,985.5718854367733,158900.11,647.57495,-13.0028105,0.0044258395,1.0,0.0,g,26.481975967407227,20251017140-542
1151.5214,975.14935,1151.4790052692936,975.2477991395772,0.05112279,0.050929543,259.70214637586355,57.830900025611236,3.3322196,0.0010882231,2394.3347,32.977253,75.646835,1.0740528,45.49162,-8.447962,0.014957515,0,5.6088467,0.007665474,0,57,1151.512317866087,975.2436899542809,4007.1575,52.244427,-9.007091,0.014159027,1.0,0.0,g,26.481975967407227,20251017140-542
1093.0204,931.76984,1093.0428496679035,931.6990593926192,0.010846072,0.010653763,259.7154546981683,57.83509254091412,3.3805676,0.00078696274,26775.87,76.51035,323.52902,1.0468087,520.215,-11.069359,0.0031031764,0,5.060941,0.45343488,0,59,1093.0173792243004,931.6576286256313,34641.16,141.23877,-11.348981,0.004427834,1.0,0.0,g,26.481975967407227,20251017140-542
9.153713,858.55945,9.216459127933291,858.4773583115132,0.015785139,0.015657129,259.8189810366884,57.94457576178257,3.2533367,0.0008015704,12913.039,56.27304,218.72504,1.0493819,274.77963,-10.277571,0.0047326214,16,5.7300463,0.34945285,0,52,9.301341980695724,858.4667193889618,17265.521,106.19931,-10.592949,0.0066799284,1.0,0.0,g,26.481975967407227,20251017140-542
1599.3658,855.2557,1599.3048403834057,855.2147648616351,0.028675763,0.028256727,259.6889329319224,57.77914077864027,2.9484138,0.0008061701,4263.101,36.906075,115.22509,1.059732,104.39967,-9.074314,0.009401606,16,7.5898795,0.2510738,0,16,1599.3173958361149,855.3183369338512,7250.801,78.77366,-9.650965,0.011798448,1.0,0.0,g,26.481975967407227,20251017140-542
