X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
361.4696,27.818861,361.4548845653643,27.8533273407584,0.037898235,0.037372023,260.41369222391,57.84916219645024,2.208031,0.00080695114,1663.149,24.826162,68.154976,1.0924093,66.4912,-8.052328,0.016210942,0,14.762043,0.5217127,0,21,361.4121799170971,27.900935731828213,3231.7659,34.769413,-8.7736,0.011683886,1.0,0.0,i,25.381746238708494,20251017151-115
208.7519,1065.8698,208.8766691378726,1065.8891244280626,0.049671542,0.049012218,260.22430788653867,57.9112030602933,1.9168094,0.00063518673,868.462,19.782578,46.187,1.3249682,46.508755,-7.346877,0.024737846,0,15.796796,0.46245065,0,25,208.8426165431738,1065.839024245739,2137.8113,55.6022,-8.3249235,0.028245706,1.0,0.0,i,25.381746238708494,20251017151-115
531.14795,974.60236,531.194997205822,974.5818394244419,0.04811923,0.04781808,260.21518582798234,57.873770400959536,2.0579126,0.0007172784,1049.6324,21.365631,50.777916,1.2512103,50.062443,-7.552593,0.022105904,0,15.227397,0.45896798,0,22,531.1868054866791,974.498080432415,2290.5042,34.25445,-8.399828,0.016241113,1.0,0.0,i,25.381746238708494,20251017151-115
601.8577,945.18854,602.0889456529067,945.2027994150928,0.014877704,0.014611543,260.21499292264485,57.86512429680559,2.7247338,0.0006960074,10388.259,50.08612,197.6152,1.065979,295.071,-10.041357,0.005236058,0,15.332984,0.9641147,0,14,602.1165915876627,945.2132937610149,14757.617,63.11558,-10.422541,0.0046446198,1.0,0.0,i,25.381746238708494,20251017151-115
1339.3313,935.57086,1339.4931163630101,935.5839811900271,0.033977732,0.033474524,260.1554573223926,57.788317688098125,2.2372575,0.0006125535,1981.5448,26.578716,75.64637,1.1120931,115.937675,-8.24251,0.014566658,0,15.909735,0.16058432,0,23,1339.4568077623844,935.5505800545216,3694.9238,46.509254,-8.919014,0.013669848,1.0,0.0,i,25.381746238708494,20251017151-115
708.002,912.5059,708.033672873701,912.5624475951033,0.055008695,0.05414174,260.2125112559415,57.85270351499164,1.8787775,0.00056777004,720.9976,18.008024,41.4219,1.6050487,38.422325,-7.1448345,0.02712452,0,14.133302,0.4086992,0,25,708.0027595472056,912.5954610705376,1828.9185,43.216183,-8.155486,0.02566149,1.0,0.0,i,25.381746238708494,20251017151-115
1093.5533,903.60736,1093.6879332671585,903.6190140961779,0.020848824,0.02054146,260.18211794443397,57.81236384557096,2.4924626,0.0006957514,5010.1133,36.901573,132.95662,1.0681125,174.37132,-9.249619,0.007998843,0,15.014569,0.885951,0,14,1093.7210316061974,903.6404495835304,8146.2124,49.66011,-9.77739,0.0066203624,1.0,0.0,i,25.381746238708494,20251017151-115
1340.8223,872.66046,1340.928012135827,872.7663809214238,0.05085326,0.05020021,260.1675529531797,57.78538531150225,1.9631951,0.00068401924,887.2256,20.269726,46.21124,1.2778931,45.721832,-7.3700852,0.024810964,0,16.169472,0.45454937,0,26,1340.9455554038286,872.8519870042801,2082.3633,48.67574,-8.2963915,0.02538551,1.0,0.0,i,25.381746238708494,20251017151-115
753.1493,862.5059,753.3316071164714,862.5758512829698,0.017610231,0.017298907,260.21846616545406,57.84579321142733,2.6597333,0.0007034447,7475.174,43.663696,165.34073,1.0583028,221.37614,-9.684053,0.006343501,0,14.5761795,0.94055665,0,21,753.3579807877541,862.5885832607746,11117.764,60.247093,-10.115044,0.0058850273,1.0,0.0,i,25.381746238708494,20251017151-115
255.59749,817.42834,255.59783138104112,817.4271991521309,0.036931716,0.03663491,260.2688444309796,57.89532278465516,2.3667421,0.00069375423,2021.8501,27.895447,74.01648,1.0975987,69.95739,-8.264373,0.014983532,0,15.5449915,0.58646923,0,11,255.53873696923256,817.4079429209232,3602.152,49.11982,-8.891405,0.014808959,1.0,0.0,i,25.381746238708494,20251017151-115
