X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
7.298712,34.61126,7.424226500335687,34.60178789890509,0.01794773,0.017892031,260.60270239870727,58.0328283801436,2.7278156,0.00068948604,7367.46,43.483402,163.55626,1.0195367,223.78008,-9.668295,0.0064096684,16,5.9347696,0.9154468,0,26,7.4078643918037415,34.61883196234703,10887.163,70.64814,-10.092287,0.0070471875,1.0,0.0,g,26.50619213409424,20251017144-929
1503.8763,19.150372,1503.9801509681772,19.177641755807432,0.005020784,0.0048905993,260.4788271671129,57.87750433184648,3.037798,0.0006680191,91402.234,132.59514,613.01764,1.0277857,2318.2805,-12.402392,0.0015754354,16,6.7461624,0.98317045,0,13,1504.0001869927219,19.184955582022667,109629.15,241.99342,-12.599815,0.002397217,1.0,0.0,g,26.50619213409424,20251017144-929
1241.5103,9.533546,1241.500556361009,9.518558545434512,0.045203343,0.04484435,260.502883397285,57.90419688903975,2.098941,0.00065554533,1159.5953,21.804686,54.563396,1.1540519,49.59899,-7.660766,0.020420821,0,5.4421897,0.4716197,0,17,1241.461107492447,9.498956501483917,2423.0303,32.222923,-8.460897,0.0144422855,1.0,0.0,g,26.50619213409424,20251017144-929
184.2551,1018.64557,184.3208365773079,1018.6503288148457,0.02244536,0.022353973,260.395328222829,58.058970449919265,2.5773335,0.0007067182,4662.525,36.001343,127.05553,1.0251118,145.75424,-9.171553,0.008385469,0,5.932099,0.862631,0,18,184.32031813263893,1018.6541567146778,7398.261,59.989937,-9.672824,0.008805998,1.0,0.0,g,26.50619213409424,20251017144-929
1540.568,945.1674,1540.5875055285787,945.2557323596325,0.041649938,0.041285463,260.295340591884,57.91536663991921,2.1826665,0.00064557005,1412.2854,24.087132,61.20997,1.0788901,56.089264,-7.8748064,0.018522194,0,8.280317,0.4870228,0,28,1540.5982015132904,945.2863727211952,2840.4263,56.810543,-8.633459,0.02172077,1.0,0.0,g,26.50619213409424,20251017144-929
763.85315,938.9028,763.9427087281932,938.9058987357365,0.019328112,0.019160556,260.3619511922934,57.99543515693016,2.672971,0.0007031171,6365.674,40.708866,151.04976,1.0280817,195.3946,-9.509611,0.006945035,0,5.207869,0.93315065,0,20,763.9570619985461,938.9150483235717,9449.76,63.189377,-9.938552,0.0072619477,1.0,0.0,g,26.50619213409424,20251017144-929
506.34125,901.3361,506.449021343335,901.3321214322656,0.019524768,0.019328663,260.39103500473146,58.02037877343933,2.6543784,0.0006996732,6151.0493,40.135258,148.4256,1.0243839,187.27412,-9.472373,0.0070860903,0,5.384139,0.9203676,0,13,506.4354365468025,901.338377147913,9260.503,45.311134,-9.916587,0.0053137387,1.0,0.0,g,26.50619213409424,20251017144-929
1083.4653,890.89044,1083.4522475453223,890.794587593957,0.038556803,0.038203966,260.34441383560306,57.96022188198137,2.4581912,0.00076811796,1950.5146,26.597946,73.77028,1.1155453,65.997475,-8.225373,0.014809102,0,4.96972,0.56735164,0,24,1083.4269672632217,890.8457938581705,3426.8562,38.98446,-8.837239,0.012354508,1.0,0.0,g,26.50619213409424,20251017144-929
757.9194,856.436,758.0411120417036,856.4609974591783,0.0076476135,0.007530292,260.378555269581,57.99233993030285,2.925065,0.00067432,38053.953,87.78027,393.56448,1.0074279,1001.21655,-11.450999,0.002505111,0,5.374984,0.98176056,0,11,758.0455641001463,856.4601200222969,48618.31,101.402916,-11.717,0.0022650638,1.0,0.0,g,26.50619213409424,20251017144-929
1304.527,830.4466,1304.6393102056577,830.4841344467579,0.010007593,0.009757372,260.33756144735395,57.93463107336916,2.8404315,0.0006735892,22092.785,68.61336,297.7019,1.0328238,603.34045,-10.860626,0.00337278,0,6.513706,0.9797248,0,11,1304.6560714542866,830.4891561567783,29512.297,97.32719,-11.175008,0.0035814673,1.0,0.0,g,26.50619213409424,20251017144-929
99.46574,821.8654,99.64362081211605,821.8537900386525,0.004738776,0.0047181225,260.44100164482217,58.058866482833835,3.0955374,0.00068296416,103982.84,141.11327,653.76636,1.0220952,2522.1062,-12.542404,0.0014737913,0,6.3096123,0.9824215,0,14,99.6669288277626,821.8653307855129,124797.7,202.01965,-12.740517,0.0017579918,1.0,0.0,g,26.50619213409424,20251017144-929
1335.2043,813.68445,1335.3160297111576,813.6349226360328,0.01707525,0.0168157,260.33826682036243,57.93070088924114,2.6395614,0.00067829917,7572.3765,43.489227,167.69257,1.0398482,235.15025,-9.69808,0.0062370514,0,6.4349666,0.9518217,0,23,1335.3025841712952,813.648520886898,11335.768,75.41812,-10.136127,0.0072252788,1.0,0.0,g,26.50619213409424,20251017144-929
826.87805,804.4153,827.0150959141067,804.3714151206993,0.016065583,0.01586471,260.38290757534475,57.982863971353005,2.7147667,0.00068741624,8881.419,46.619972,181.87848,1.0353078,262.773,-9.871206,0.005700586,0,5.665342,0.95623755,0,25,827.0241794660687,804.3676093816757,12778.862,51.597935,-10.266231,0.004385004,1.0,0.0,g,26.50619213409424,20251017144-929
138.20784,747.02014,138.32333263259443,746.9680643103661,0.024733262,0.024607977,260.4523708714962,58.05149294335172,2.463927,0.0007074118,3656.2605,32.58355,112.06074,1.015652,121.824615,-8.907593,0.009678122,0,6.925805,0.7668529,0,23,138.31971022486687,746.9691907726228,6274.3735,41.135757,-9.493926,0.007119983,1.0,0.0,g,26.50619213409424,20251017144-929
1211.6383,681.80133,1211.7204982673707,681.8080859535163,0.020092612,0.019844895,260.37438623232214,57.93756368602341,2.6071947,0.0006999193,5714.9478,38.852245,142.70583,1.0578815,174.5577,-9.39253,0.007383014,0,4.92838,0.91826445,0,27,1211.7342592775822,681.8260755985975,8813.793,49.213802,-9.862907,0.006063926,1.0,0.0,g,26.50619213409424,20251017144-929
1266.912,680.17303,1266.8550655599315,680.092920942901,0.04478833,0.04438554,260.37007574657576,57.931783827032,2.2539842,0.0007088117,1347.1505,23.529697,58.87804,1.1214448,50.50382,-7.82354,0.018968372,0,6.068554,0.47504908,0,27,1266.7940553426743,680.0304695554078,2592.2966,47.08491,-8.534212,0.01972545,1.0,0.0,g,26.50619213409424,20251017144-929
304.33127,640.9145,304.4284572972545,640.9066539256836,0.018300613,0.018120002,260.4590306006195,58.029540227068594,2.6515503,0.0006946589,6809.253,41.68768,157.99063,1.0276812,206.85138,-9.582748,0.0066487207,0,5.835559,0.9270732,0,15,304.42251563072205,640.9049427732825,10344.441,55.380535,-10.036768,0.0058140657,1.0,0.0,g,26.50619213409424,20251017144-929
769.7193,634.2102,769.7127665228877,634.2048918288016,0.025733333,0.025511997,260.42097172117616,57.98113308258146,2.4092472,0.00069554197,3310.4421,31.253176,105.81634,1.0555197,118.535034,-8.799715,0.010252694,0,6.111786,0.76941526,0,24,769.7348075509071,634.2103707641363,5776.6367,34.946606,-9.404187,0.0065699155,1.0,0.0,g,26.50619213409424,20251017144-929
109.31558,625.14996,109.4322329421213,625.1401153710589,0.027763875,0.027616499,260.47864327533296,58.048985879835996,2.493046,0.00070258015,3188.7112,31.486177,101.31384,1.0265981,103.765076,-8.759038,0.010723451,0,6.450014,0.7215152,0,24,109.4113081395626,625.1254241764545,5344.8013,61.29069,-9.319829,0.012453539,1.0,0.0,g,26.50619213409424,20251017144-929
76.41582,585.2763,76.60728273042344,585.2842142675388,0.0038144335,0.0037907986,260.48922078524885,58.05058030554502,3.1326594,0.00068452087,163162.34,175.38834,818.6138,1.0193189,3839.88,-13.031549,0.0011673756,0,7.6042614,0.9833625,0,26,76.63118314743042,585.2732594013214,192313.03,286.7289,-13.210022,0.0016191705,1.0,0.0,g,26.50619213409424,20251017144-929
125.23048,549.0823,125.39524366267347,549.0872626434191,0.0062349155,0.006204316,260.4921571716483,58.043904193792336,3.0106013,0.0006735214,58303.83,107.26032,487.94632,1.0118353,1461.0166,-11.914243,0.0019978913,0,6.505132,0.9815129,0,9,125.40079155564308,549.085799627006,72284.66,139.17065,-12.147615,0.002090891,1.0,0.0,g,26.50619213409424,20251017144-929
489.99088,525.7912,489.8606142947048,525.7472368925205,0.05113077,0.05094198,260.4658222818632,58.00517902838239,1.7072731,0.00057299685,627.69214,16.608166,40.333996,1.2431693,38.540287,-6.9943666,0.028734576,0,6.2452364,0.44094726,0,29,489.7898733615875,525.8310566097498,1842.7318,25.031622,-8.163655,0.014752196,1.0,0.0,g,26.50619213409424,20251017144-929
595.6562,501.76355,595.6586688069146,501.7650357260762,0.02442924,0.024179528,260.4615478995639,57.993160990604245,2.4935317,0.00071022136,3873.1082,33.18305,114.5069,1.0393455,123.894005,-8.970149,0.00930436,0,4.2247157,0.7832078,0,26,595.6649950444698,501.7673256844282,6375.647,39.015713,-9.511311,0.006645767,1.0,0.0,g,26.50619213409424,20251017144-929
974.05035,488.56937,974.1347707840605,488.53651620068024,0.03713726,0.03680287,260.4321275279419,57.95343638324663,2.2239232,0.0006760761,1681.5297,24.63925,69.603035,1.0688463,66.07554,-8.064261,0.015913026,0,6.033279,0.5631347,0,19,974.1030661687255,488.55587673187256,3273.249,34.08144,-8.787448,0.011307555,1.0,0.0,g,26.50619213409424,20251017144-929
1509.8496,434.87738,1509.8865417143948,434.8720072014638,0.012542913,0.012237953,260.39739879894785,57.89562107830036,2.75028,0.00066703174,14095.002,56.587975,233.81253,1.0590949,401.751,-10.372663,0.0043600234,0,8.43005,0.97493345,0,25,1509.9080182537436,434.887450568378,19474.549,85.28467,-10.723668,0.004755907,1.0,0.0,g,26.50619213409424,20251017144-929
1241.3762,368.48767,1241.3694406123057,368.52797671101,0.030440828,0.030064162,260.43296330467746,57.92040054229824,2.4003701,0.0006911987,2587.9473,29.075733,90.01664,1.0778141,87.62107,-8.532389,0.012201271,0,6.5169134,0.6615053,0,15,1241.3750994503498,368.5126101374626,4547.0312,46.903873,-9.14432,0.0112023875,1.0,0.0,g,26.50619213409424,20251017144-929
104.486565,368.16357,104.49785012343759,368.07324131094805,0.032227606,0.032078344,260.5293079392243,58.03788875674805,2.5938044,0.0006960896,2828.4084,31.49638,90.83158,1.0627706,87.88204,-8.628856,0.012093398,0,6.5957823,0.6528801,0,22,104.45212745666504,368.0211569815874,4532.634,47.267773,-9.140877,0.01132516,1.0,0.0,g,26.50619213409424,20251017144-929
94.22519,354.58694,94.36299057937951,354.59923558792525,0.013723224,0.01363843,260.5328016569439,58.03832703758102,2.7908628,0.000683557,12104.423,53.156136,215.47716,1.014489,336.40836,-10.20736,0.0047691297,0,6.700278,0.96731657,0,12,94.36261200904846,354.6197477579117,17096.305,67.370544,-10.582255,0.0042795455,1.0,0.0,g,26.50619213409424,20251017144-929
1091.5155,308.71982,1091.5188275594642,308.7086498059272,0.039305508,0.038760025,260.45727527682607,57.93319732009693,2.213351,0.0006775606,1563.9933,24.201702,65.846634,1.1547849,62.090054,-7.985587,0.01680509,0,5.675231,0.65913326,0,22,1091.5303850769997,308.7208760678768,3035.923,31.127577,-8.705727,0.01113485,1.0,0.0,g,26.50619213409424,20251017144-929
899.9068,301.44473,900.0531330469908,301.47990956722765,0.005368081,0.0052700303,260.47487078297075,57.952663425513286,3.041672,0.0006815126,80315.36,124.674065,574.3312,1.0159317,1978.4027,-12.261996,0.001685805,0,5.895854,0.9826229,0,11,900.0633931979537,301.47892317175865,97897.49,116.63308,-12.476929,0.0012938383,1.0,0.0,g,26.50619213409424,20251017144-929
238.1768,290.15442,238.1373038333515,290.16394895216416,0.048507884,0.048458546,260.5331771234809,58.020559029380145,2.0683613,0.0007093513,1019.33856,20.862469,50.31849,1.1493666,45.725945,-7.5207963,0.022226807,0,5.297531,0.44907922,0,24,238.0315510109067,290.183352291584,2179.8994,48.259445,-8.346091,0.024042282,1.0,0.0,g,26.50619213409424,20251017144-929
1004.8857,221.30154,1004.9577487325258,221.2835729661408,0.022441097,0.022119643,260.48163278789985,57.93820228074006,2.5523808,0.0007030096,4596.0293,35.730328,126.64474,1.0675848,146.42056,-9.155957,0.008442752,0,5.884754,0.8783668,0,22,1004.9662772007287,221.2694455385208,7401.567,47.38924,-9.673309,0.006953219,1.0,0.0,g,26.50619213409424,20251017144-929
1424.2059,214.1262,1424.1910944432068,214.08048925238646,0.035735935,0.03536958,260.44762271694805,57.894540398074454,2.2690723,0.00068106735,1838.3503,25.501099,73.534515,1.0827107,67.857765,-8.161071,0.015064699,0,6.796869,0.58704066,0,27,1424.197360008955,214.09223037213087,3512.2214,49.976524,-8.863955,0.015453042,1.0,0.0,g,26.50619213409424,20251017144-929
463.44293,159.22516,463.5864767357385,159.23235574460287,0.005831006,0.0057703042,260.5395981640625,57.991346238819595,3.031636,0.0006794546,67475.13,114.8026,526.3496,1.0045955,1688.33,-12.07286,0.001847727,0,5.8486676,0.9821932,0,23,463.60327756404877,159.2266249805689,83064.305,110.20402,-12.298536,0.0014408303,1.0,0.0,g,26.50619213409424,20251017144-929
1015.7469,160.76843,1015.7771389994124,160.77477967694745,0.037446745,0.037062533,260.4925105324697,57.93435349968445,2.3151197,0.00066905766,1809.0553,25.826931,71.38426,1.1272061,71.523125,-8.14363,0.015504251,0,5.913842,0.65711623,0,22,1015.7253734469414,160.80043333768845,3334.3,33.47351,-8.807511,0.010902508,1.0,0.0,g,26.50619213409424,20251017144-929
990.1444,92.23786,990.3077821922843,92.25722972713989,0.0037076636,0.0036374517,260.5080174641704,57.933892421221316,3.121836,0.0006875121,174061.11,180.88838,847.5267,1.0069631,3881.9187,-13.101754,0.0011285966,0,5.571589,0.98333406,0,21,990.3130108714104,92.25654083490372,205170.61,248.16235,-13.280288,0.001313562,1.0,0.0,g,26.50619213409424,20251017144-929
403.80334,1073.8743,403.81896295695503,1073.8182213336534,0.03836045,0.03816406,260.36597823540205,58.03874867927717,2.218009,0.00066387234,1611.3761,24.529324,66.89866,1.0570056,63.85186,-8.017992,0.016531738,0,6.372628,0.5175013,0,11,403.79826909303665,1073.8410300165415,3081.2322,42.68131,-8.721811,0.015043301,1.0,0.0,g,26.50619213409424,20251017144-929
