g_key,i_key,ra,dec,g_mag,i_mag,color,mag_err,match_distance
20251017140-542,20251017141-300,259.72907701586377,57.79235601116646,17.760349967407226,16.936831793243407,0.8235181741638193,0.044361865,0.00019103792112752687
20251017140-542,20251017141-300,259.8367436544438,57.92166331027449,17.308940967407224,16.34991679324341,0.9590241741638152,0.0221944295,9.176205925528845e-05
20251017140-542,20251017141-300,259.8059775095803,57.87581262074784,17.965840967407225,16.639954793243408,1.3258861741638164,0.032264532,7.617130349082633e-05
20251017140-542,20251017141-300,259.78117236147796,57.814259425469615,15.434596467407227,14.695079293243408,0.7395171741638187,0.0092057041,0.00011491224047466149
20251017140-542,20251017141-300,259.8503460259665,57.90267558660773,17.565285967407227,16.66105979324341,0.9042261741638171,0.021805537,8.312254103222283e-05
20251017140-542,20251017141-300,259.86434609402215,57.91580880523224,15.926164967407226,15.574999293243408,0.35116567416381805,0.0112439231,0.00011284490822724815
20251017140-542,20251017141-300,259.8542730693819,57.879402241306195,12.720598967407227,11.768541793243408,0.9520571741638193,0.0054655683,4.304894628082367e-05
20251017140-542,20251017141-300,259.8357371381829,57.855494964101894,16.53768296740723,15.963419793243409,0.5742631741638196,0.012500342000000001,9.426687198220956e-06
20251017140-542,20251017141-300,259.77515653144235,57.776297338988066,17.839291967407227,16.66227479324341,1.1770171741638187,0.046869641000000004,0.00014414580544931408
20251017140-542,20251017141-300,259.77344537947016,57.77346057198588,17.770003967407227,16.548387793243407,1.2216161741638203,0.043031354,9.699304529781143e-05
20251017140-542,20251017141-300,259.8539750281503,57.8399435367673,15.529251967407227,14.775699793243408,0.7535521741638185,0.011888187,7.366052932363952e-05
20251017140-542,20251017141-300,259.8583385069293,57.838927585584145,13.052116967407226,12.226398793243408,0.8257181741638178,0.0047884183,8.810307450087242e-05
20251017140-542,20251017141-300,259.86584310691626,57.84737280816044,13.589713967407226,13.122000793243409,0.4677131741638174,0.0046654686,9.415270226248334e-05
20251017140-542,20251017141-300,259.90604526015954,57.89509994707559,16.745587967407225,15.622599793243408,1.122988174163817,0.018436889,0.00019170763179670043
20251017140-542,20251017141-300,259.91651609899196,57.90687199655375,18.100642967407225,16.848194793243408,1.252448174163817,0.030896875499999997,0.00012107985224133504
20251017140-542,20251017141-300,259.90901979973535,57.893482171231526,17.697634967407225,16.240598793243407,1.457036174163818,0.027261031999999998,0.000181815718502579
20251017140-542,20251017141-300,259.8293015895655,57.776137795734456,16.87067096740723,15.326626293243407,1.5440446741638212,0.018182393499999998,0.00013604929053664974
20251017140-542,20251017141-300,259.9012649766464,57.85691154536929,17.844499967407227,16.48207579324341,1.3624241741638166,0.043611444,0.00018351136584926733
20251017140-542,20251017141-300,259.86179526305955,57.7994472206134,11.734118967407227,10.756265793243408,0.977853174163819,0.0159346945,0.0001342741505575949
20251017140-542,20251017141-300,259.8938961774827,57.841167390758514,17.08795196740723,15.935318793243407,1.152633174163821,0.015971574500000002,0.00016516991349615774
20251017140-542,20251017141-300,259.92435277520235,57.87204670912104,17.361055967407225,16.02491279324341,1.3361431741638157,0.019012116,0.00024131162477481068
20251017140-542,20251017141-300,259.71100904340454,57.87309129370243,16.906416967407225,16.33842179324341,0.5679951741638156,0.025426943,0.0002639110164937719
20251017140-542,20251017141-300,259.7398316266724,57.90373196569955,18.15187296740723,17.02479479324341,1.1270781741638203,0.045553294,0.000316110999309956
20251017142-022,20251017142-734,260.41141513521643,58.08265557876827,15.387771504638671,13.208638722869871,2.1791327817688,0.0061671569,0.0002565652522349367
20251017142-022,20251017142-734,260.3072008802202,57.95447842368882,16.46078950463867,15.962674722869872,0.49811478176879653,0.0148595385,0.000722013051386706
20251017142-022,20251017142-734,260.1668335806941,58.077601681779356,17.03486950463867,16.15311972286987,0.8817497817688,0.018966746,0.00025294053159640004
20251017142-022,20251017142-734,260.0923478730306,57.97379186440463,10.98251650463867,9.653490722869872,1.3290257817687987,0.022692635,0.00041752031285603063
20251017142-022,20251017142-734,260.12020257579775,58.01731153882748,17.30658600463867,16.54900872286987,0.7575772817687998,0.026567379000000002,0.0001502437861564124
20251017142-022,20251017142-734,260.21457649151586,58.12793650649901,16.824502504638673,16.24611272286987,0.5783897817688022,0.0163188683,0.0006650450375493366
20251017142-022,20251017142-734,260.17111896730654,58.07040759685239,17.71298150463867,15.929433722869872,1.7835477817687977,0.026258475000000003,0.0002042771258769353
20251017142-022,20251017142-734,260.1234986550559,58.00004169689271,16.94400000463867,16.245451722869873,0.6985482817687974,0.023128235,0.000285141647545423
20251017142-022,20251017142-734,260.15705949634315,58.036639991801415,11.369157504638672,10.328242722869872,1.0409147817687998,0.012805384999999999,6.317564312641439e-05
20251017142-022,20251017142-734,260.11197311346154,57.980831126924826,17.047693504638673,16.39878972286987,0.6489037817688015,0.024828338,0.00037432290592269223
20251017142-022,20251017142-734,260.10795874179956,57.973916771278056,15.47644400463867,14.882177722869871,0.5942662817687996,0.016216975,0.0004898522127945848
20251017142-022,20251017142-734,260.120852420965,57.98568179361446,15.584807504638672,15.118235722869871,0.4665717817688009,0.0098004634,0.0003754611905584125
20251017142-022,20251017142-734,260.1636386494745,58.02958009510142,17.75366150463867,16.944210722869872,0.809450781768799,0.033854272000000005,4.480414528662027e-05
20251017142-022,20251017142-734,260.19452304300546,58.05957519720834,14.060518004638672,13.64016972286987,0.4203482817688009,0.0044917077,0.00016144805767928213
20251017142-022,20251017142-734,260.1449184879037,57.999063706063566,18.11214550463867,16.85579272286987,1.256352781768797,0.035261983,0.00031109119019297226
20251017142-022,20251017142-734,260.2044517123884,58.069976562006346,15.760207504638672,15.453261722869872,0.3069457817687997,0.0122585686,0.0002347352402330441
20251017142-022,20251017142-734,260.1845915375716,58.04541749418134,16.58087800463867,15.742130722869872,0.8387472817687982,0.0124700817,5.856089263415053e-05
20251017142-022,20251017142-734,260.1923213199715,58.041666876430966,17.62197850463867,16.640336722869872,0.981641781768797,0.024138332999999998,7.575400928182358e-06
20251017142-022,20251017142-734,260.1559003274508,57.98677260077338,17.52975950463867,16.097947722869872,1.431811781768797,0.023016023,0.0003950800118703046
20251017142-022,20251017142-734,260.1742680405767,58.0068303198193,17.387998504638674,15.916127722869872,1.4718707817688017,0.026479122,0.0002457808955319775
20251017142-022,20251017142-734,260.1677241025901,57.96604208575342,17.27937350463867,16.654064722869872,0.6253087817687977,0.031377398,0.0006470203551611753
20251017142-022,20251017142-734,260.2588390611178,58.0745129656832,16.82861850463867,15.982568722869871,0.846049781768798,0.015062189,0.0002288654432535808
20251017142-022,20251017142-734,260.199079390856,57.99871080568995,17.792197504638672,16.471164722869872,1.3210327817687997,0.03001488,0.00031403256013679714
20251017142-022,20251017142-734,260.1676755728472,57.95912003540967,17.03089950463867,15.464247722869871,1.5666517817687975,0.024409988,0.0006411374043591153
20251017142-022,20251017142-734,260.23555217543594,58.026838000272775,14.217337504638671,13.335142222869871,0.8821952817687997,0.0039935467,0.0001147626336704797
20251017142-022,20251017142-734,260.21691323935056,57.99655782467368,17.93784350463867,16.65752872286987,1.2803147817688014,0.027671796,0.00037131432048121706
20251017142-022,20251017142-734,260.3157808407881,58.10494551684748,16.515354504638672,15.053159722869871,1.462194781768801,0.009866053699999999,0.00043893855814473404
20251017142-022,20251017142-734,260.2187036440788,57.98053827222223,16.67225950463867,16.104697722869872,0.5675617817687986,0.0154090567,0.0004544843641956692
20251017142-022,20251017142-734,260.31897816430205,58.09798894000624,17.988584504638673,16.99897972286987,0.9896047817688043,0.040241483,0.0004277440131865022
20251017142-022,20251017142-734,260.2645074554349,58.02478872721083,14.35466850463867,14.006840722869871,0.3478277817687996,0.0051996845,0.00012889992216913289
20251017142-022,20251017142-734,260.2212120414224,57.96902454186234,17.58347350463867,17.04814822286987,0.5353252817687988,0.043626546,0.0005948890749149493
20251017142-022,20251017142-734,260.2918534878655,58.04220137726538,16.319211504638673,15.422015722869872,0.8971957817688008,0.0105649807,7.422836111979597e-05
20251017142-022,20251017142-734,260.31494177365005,58.070896446008994,17.96146550463867,16.874891722869872,1.0865737817687986,0.036688247,0.00021677825415426777
20251017142-022,20251017142-734,260.30014772173286,58.042858502547304,15.921406504638671,15.278305722869872,0.6431007817687995,0.011508187,6.0943115101605434e-05
20251017142-022,20251017142-734,260.35201121192176,58.10517615312505,16.86296050463867,15.644571722869872,1.2183887817688,0.013906469099999999,0.00043732085819691224
20251017142-022,20251017142-734,260.34821010164893,58.07242806746066,15.42486350463867,14.940024722869872,0.4848387817687989,0.007465263999999999,0.0002178543940165421
20251017142-022,20251017142-734,260.32053782551253,58.020371544820264,11.712893504638672,11.364255722869872,0.3486377817687991,0.0075565485,0.00015869554619596022
20251017142-022,20251017142-734,260.30334850970064,58.002781460382565,16.67132650463867,16.141176722869872,0.5301497817687988,0.0184639607,0.0003478077033794158
20251017142-022,20251017142-734,260.2646809974013,57.952279771066216,17.75002250463867,16.45678172286987,1.2932407817688016,0.0314612435,0.0007222233458972659
20251017142-022,20251017142-734,260.3536991651257,58.06036516348685,17.75098550463867,17.16938472286987,0.5816007817687989,0.028052977,0.00014382047446879633
20251017142-022,20251017142-734,260.3332058997926,58.021975391295086,16.38704650463867,15.704664722869872,0.6823817817687967,0.011735458,0.00021509098688800453
20251017142-022,20251017142-734,260.3087778294642,57.99166859640198,15.82361150463867,15.13391072286987,0.6897007817687992,0.007734089499999999,0.0004276585188047181
20251017142-022,20251017142-734,260.35316272413905,58.04023945870962,17.068446504638672,16.33154072286987,0.736905781768801,0.014942118,0.00010318244211387596
20251017142-022,20251017142-734,260.3658482208822,58.03866320574239,17.83398050463867,16.67097572286987,1.1630047817688016,0.026068979,0.00012963511619285933
20251017142-022,20251017142-734,260.1322091368901,58.04392915286259,17.00382850463867,16.24500372286987,0.7588247817687979,0.023562626000000003,4.6116697899048336e-05
20251017143-456,20251017144-208,260.22397965187736,57.91113031136817,18.141816545684815,17.0054542199707,1.1363623257141136,0.0282931905,6.0814947775214645e-05
20251017143-456,20251017144-208,259.9932783140145,57.91213705589556,16.429040545684813,15.4984652199707,0.9305753257141127,0.013828665,5.823566082660817e-05
20251017143-456,20251017144-208,260.02409997119435,57.93981378931157,17.502372545684814,16.308882219970698,1.1934903257141158,0.022137340999999998,8.239322106114257e-05
20251017143-456,20251017144-208,260.00661859302755,57.911670817122435,16.787048545684815,15.171607219970701,1.615441325714114,0.011529182,5.137764829271791e-05
20251017143-456,20251017144-208,260.00284206646495,57.89624747761656,17.987423545684813,16.650629219970703,1.3367943257141093,0.02969046,8.23593751681056e-05
20251017143-456,20251017144-208,260.0300970523318,57.92869857826945,17.406686545684813,16.2130692199707,1.193617325714115,0.018491158,6.3669438864722e-05
20251017143-456,20251017144-208,259.9656251102609,57.84351520090468,13.791462545684814,13.1075512199707,0.6839113257141136,0.0066367982,0.00011108035059900847
20251017143-456,20251017144-208,260.07124685419365,57.961799266568114,16.760074545684816,15.7646582199707,0.9954163257141158,0.0131957741,8.001475745314042e-05
20251017143-456,20251017144-208,260.0922886779568,57.97380509579855,12.072791545684815,10.412969219970702,1.6598223257141136,0.031595821999999996,0.00010111414720953016
20251017143-456,20251017144-208,260.091446626352,57.96720037860508,17.654458545684815,16.349392219970703,1.3050663257141117,0.059121723,0.00034844729755532044
20251017143-456,20251017144-208,259.99017329707095,57.83488258247678,17.709535545684815,16.2604782199707,1.449057325714115,0.02607027,8.51126501700484e-05
20251017143-456,20251017144-208,260.10789866720313,57.97388880541439,15.557511545684815,14.892851219970701,0.664660325714113,0.020423138,0.00011406469351536784
20251017143-456,20251017144-208,259.98205602988196,57.814492179753316,17.778934545684812,17.0365172199707,0.7424173257141113,0.034388028,0.00014468891517650012
20251017143-456,20251017144-208,260.0222957693651,57.86232395125605,13.598563545684815,12.698814219970702,0.8997493257141134,0.005051744,8.117741441416645e-05
20251017143-456,20251017144-208,260.0779188911398,57.92473424560359,16.493644545684816,15.6985262199707,0.7951183257141157,0.012728937400000001,3.458839617426372e-05
20251017143-456,20251017144-208,260.04455947726933,57.87114071547289,16.649630545684815,16.0647612199707,0.5848693257141164,0.014726728,6.822822671076476e-05
20251017143-456,20251017144-208,260.1140774343591,57.94781401460314,18.050962545684815,16.8353422199707,1.2156203257141165,0.026946279,0.0001265307641874117
20251017143-456,20251017144-208,260.0672227052063,57.88220095143022,17.979502545684817,16.7914252199707,1.188077325714115,0.037728357000000004,4.4009125956259615e-05
20251017143-456,20251017144-208,260.0563478825652,57.86643086518619,18.067375545684815,16.8438802199707,1.223495325714115,0.037498023000000005,6.515747883072964e-05
20251017143-456,20251017144-208,260.0723880405899,57.87104927405625,14.397822545684814,13.846937219970702,0.5508853257141126,0.004314611899999999,7.69531626446912e-05
20251017143-456,20251017144-208,260.0314386038558,57.81710696837894,13.276436545684815,12.7734542199707,0.5029823257141146,0.0068351107,0.00012957723902865212
20251017143-456,20251017144-208,260.12788229409125,57.932022683331894,12.274387545684815,11.127245219970701,1.147142325714114,0.0085086758,6.544661347547017e-05
20251017143-456,20251017144-208,260.032304982748,57.81229913701969,15.786646545684814,14.8649232199707,0.9217233257141135,0.0132658724,0.00011345915480545704
20251017143-456,20251017144-208,260.02749993616214,57.803507645716266,17.404546545684816,16.8219402199707,0.5826063257141172,0.0328633635,0.0001299172084266273
20251017143-456,20251017144-208,260.1221112269345,57.92017732228408,17.490033545684817,17.1828032199707,0.3072303257141158,0.027924137,7.919231771303029e-05
20251017143-456,20251017144-208,260.12975945923023,57.92524418411328,13.878110545684814,13.2765492199707,0.6015613257141137,0.0053989067,3.116797106463429e-05
20251017143-456,20251017144-208,260.0775674917047,57.85510842286135,16.590737045684815,16.1240832199707,0.46665382571411484,0.0145804946,7.617432668423e-05
20251017143-456,20251017144-208,260.10684239915054,57.88459189953349,11.757908545684815,11.292477219970701,0.46543132571411405,0.0103312635,4.9466548874632414e-05
20251017143-456,20251017144-208,260.16771991493,57.95905939182459,17.040632545684815,15.451074219970701,1.5895583257141137,0.0179789334,0.00011874247012928737
20251017143-456,20251017144-208,260.1363323772173,57.915348673606076,15.582702545684814,14.896037219970701,0.6866653257141131,0.008354977,1.8977548001203556e-05
20251017143-456,20251017144-208,260.1177219322827,57.88500467276476,11.993449545684815,11.476236219970701,0.5172133257141134,0.0095504357,5.319834484811062e-05
20251017143-456,20251017144-208,260.1423388539264,57.90364757414277,16.274449045684815,15.661702219970701,0.6127468257141135,0.009774819,3.936057827830464e-05
20251017143-456,20251017144-208,260.1553369763577,57.91609759277033,17.542508545684814,17.0755562199707,0.4669523257141144,0.026119773,2.6677502771001243e-05
20251017143-456,20251017144-208,260.08801127293907,57.82422668818113,18.016314545684814,16.7658972199707,1.250417325714114,0.030766848,7.253467336865839e-05
20251017143-456,20251017144-208,260.14248178622836,57.89214451073225,17.957395545684815,16.6017342199707,1.355661325714113,0.0287702465,4.1572331992943934e-05
20251017143-456,20251017144-208,260.06909566543993,57.788919347327074,16.995042545684814,15.8259642199707,1.1690783257141142,0.023795361,9.479991614952885e-05
20251017143-456,20251017144-208,260.1209346019783,57.847510047471154,15.239050545684815,14.7359352199707,0.5031153257141145,0.0065679477,7.064949288475998e-05
20251017143-456,20251017144-208,260.0744966805787,57.78647758138344,17.375439545684813,16.0685242199707,1.3069153257141117,0.028403977,0.00011185810445871224
20251017143-456,20251017144-208,260.13687702041744,57.8621592928875,17.477624545684815,15.885593219970701,1.5920313257141139,0.019417066,1.3021824648954149e-05
20251017143-456,20251017144-208,260.14304017094764,57.86559917213077,16.817394545684813,16.3124932199707,0.504901325714112,0.015546497999999999,3.946045181810258e-05
20251017143-456,20251017144-208,260.13975397159794,57.83875140627754,18.048434545684813,16.6706002199707,1.3778343257141117,0.024578849,9.12002478675886e-05
20251017143-456,20251017144-208,260.1867267975463,57.89067982423379,17.013866545684813,15.2940162199707,1.7198503257141127,0.012261472700000001,1.0412739031599097e-05
20251017143-456,20251017144-208,260.22088192167087,57.932627291741305,17.742747545684814,16.209341219970703,1.533406325714111,0.0293630545,6.537000561354776e-05
20251017143-456,20251017144-208,260.1208004658399,57.79614172721426,13.909177545684814,13.324071719970702,0.5851058257141126,0.007601492,0.00013449873084392166
20251017143-456,20251017144-208,260.21496301545164,57.91368488044549,15.345579545684815,14.787941219970701,0.5576383257141142,0.0076709453,2.1732791718466426e-05
20251017144-929,20251017145-642,260.6027052992766,58.03283500732529,16.413905134094236,14.923839708221436,1.4900654258727997,0.0133808115,3.7729374980351936e-05
20251017144-929,20251017145-642,260.478821717351,57.87752961485681,13.906377134094239,13.250792708221438,0.6555844258728012,0.0070602765000000005,0.00014048785372075044
20251017144-929,20251017145-642,260.50288357784393,57.904220028902216,18.04529513409424,16.46314870822144,1.5821464258728,0.0257686035,0.00012755252435076397
20251017144-929,20251017145-642,260.3953027577313,58.058945921337866,16.833368134094236,16.269492708221435,0.5638754258728014,0.02182878,0.00015856906766266245
20251017144-929,20251017145-642,260.2953269066095,57.91536906673649,17.87273313409424,17.004838708221435,0.8678944258728052,0.046575147,4.648875791042334e-05
20251017144-929,20251017145-642,260.36192202470784,57.99542286739677,16.56764013409424,16.060950708221437,0.5066894258728034,0.0166867297,0.00011659069777887829
20251017144-929,20251017145-642,260.3910066621731,58.02036195867802,16.58960513409424,16.109111708221437,0.4804934258728011,0.0134975117,0.00013073984292406052
20251017144-929,20251017145-642,260.34437583616557,57.96019761271524,17.668953134094238,16.269067708221435,1.399885425872803,0.022630862,0.0001821514735069496
20251017144-929,20251017145-642,260.378534525197,57.99233230077807,14.789192134094238,14.208201708221438,0.5809904258728,0.0056962534,7.951915212947195e-05
20251017144-929,20251017145-642,260.337542414214,57.93462844590523,15.331184134094238,14.665552708221437,0.6656314258728013,0.0082772078,6.359209271031783e-05
20251017144-929,20251017145-642,260.44098637081527,58.05885115045021,13.765675134094238,13.033055708221436,0.7326194258728016,0.0046811044,9.804074650763772e-05
20251017144-929,20251017145-642,260.3382444980483,57.93069486220119,16.37006513409424,15.657078708221437,0.7129864258728027,0.0161004038,7.985993832828668e-05
20251017144-929,20251017145-642,260.3828832205859,57.98285310900039,16.239961134094237,15.668787708221437,0.5711734258728001,0.0106322455,9.931286384508394e-05
20251017144-929,20251017145-642,260.452354367913,58.05147752812907,17.01226613409424,16.237052708221437,0.7752134258728027,0.016492318,0.0001005133384092698
20251017144-929,20251017145-642,260.3743633332591,57.937562910654634,16.64328513409424,16.202684708221437,0.4406004258728018,0.015725722,7.462045837691795e-05
20251017144-929,20251017145-642,260.4590142583638,58.02953017086061,16.46942413409424,15.951734708221437,0.5176894258728026,0.0148079177,7.680725207280981e-05
20251017144-929,20251017145-642,260.4209535736819,57.98112469432802,17.102005134094238,16.519563708221437,0.5824414258728012,0.016852159999999998,7.49905876309946e-05
20251017144-929,20251017145-642,260.4786316184568,58.04898043724639,17.186363134094236,16.485524708221437,0.7008384258727993,0.028846793,4.8355226588878005e-05
20251017144-929,20251017145-642,260.48920411021766,58.050572763539506,13.296170134094238,12.793769708221436,0.5024004258728016,0.0044726315,6.834678549744203e-05
20251017144-929,20251017145-642,260.4921438781149,58.04389899391235,14.358577134094238,13.341238708221438,1.0173384258728007,0.004994624600000001,5.188399255117523e-05
20251017144-929,20251017145-642,260.4615372998011,57.993159129003104,16.99488113409424,15.296522708221437,1.6983584258728026,0.011532043,3.5978781575001096e-05
20251017144-929,20251017145-642,260.4321182405008,57.953438229253436,17.718744134094237,16.513166708221437,1.2055774258728,0.022846725499999998,3.1882411689002236e-05
20251017144-929,20251017145-642,260.3973850006951,57.895634281365474,15.782524134094238,15.203847708221437,0.5786764258728017,0.0108540754,8.550859201533493e-05
