X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
108.14413,8.928505,108.31699488746685,8.957800084476924,0.010689408,0.010518096,260.4114966410131,58.08265977590879,3.0745115,0.0007340883,22623.322,69.878784,300.6808,1.0276657,527.94446,-10.886391,0.0033544304,16,4.9207463,0.9466382,0,13,108.3409213423729,8.988820350728929,28819.785,82.76691,-11.149227,0.0031188596,1.0,0.0,g,26.53699850463867,20251017142-022
1346.5647,5.311194,1346.5651691669204,5.22768682176155,0.019501572,0.019226974,260.3069890525812,57.95452827564043,2.744976,0.00074655464,6606.834,41.376163,154.50757,1.1067784,183.35918,-9.549983,0.0068012173,24,5.3645487,0.83910763,0,23,1346.5778648257256,5.150745868682861,10727.133,59.969902,-10.076209,0.0060712695,1.0,0.0,g,26.53699850463867,20251017142-022
605.09106,1044.6011,605.1930043098209,1044.6156069277142,0.026367044,0.02599324,260.16691349929533,58.077595494203095,2.5625157,0.0007613376,3612.9028,32.553524,110.11527,1.1240247,111.98762,-8.894641,0.009785241,0,4.6667776,0.4576523,0,32,605.1725161522627,1044.6011569797993,6321.958,51.84336,-9.502129,0.008905767,1.0,0.0,g,26.53699850463867,20251017142-022
1589.0481,1002.0443,1589.653357712834,1001.9418980765072,0.003271655,0.0032630502,260.0922190545226,57.973810554766494,8.986333,0.0027346187,1911029.8,595.0748,2943.8074,1.0712405,3837.5654,-15.703169,0.00033816913,24,8.936498,0.8402808,0,721,1585.3941540718079,1003.141962647438,1666453.1,17789.076,-15.554482,0.011592847,1.0,0.0,g,26.53699850463867,20251017142-022
1183.3245,1034.0422,1183.2417373834624,1034.140903040965,0.033484746,0.03319949,260.1201548066001,58.01730932684818,2.6674688,0.00078616786,2763.7651,30.680794,90.87843,1.0759387,81.18507,-8.603753,0.012055779,0,5.6648026,0.43406525,0,26,1183.2813574075699,1034.0678079649806,4922.2666,54.290726,-9.2304125,0.011978166,1.0,0.0,g,26.53699850463867,20251017142-022
106.301994,1015.8441,106.44266306112318,1015.8592538155272,0.023734879,0.023289945,260.21478402708937,58.127912162515074,2.7374673,0.00077949004,4831.0527,36.78518,129.38963,1.0541556,131.94815,-9.210104,0.008269151,0,4.906098,0.5078201,0,24,106.41611656546593,1015.8818507790565,7673.582,47.470978,-9.712496,0.0067183073,1.0,0.0,g,26.53699850463867,20251017142-022
655.83777,1000.822,655.8731734721769,1000.8575724577132,0.0387973,0.038172994,260.1711836403289,58.070403138204505,2.2763948,0.0007465183,1638.2988,24.050407,68.8093,1.1590354,62.50916,-8.035983,0.0159426,0,3.9059916,0.6344548,0,11,655.8455573618412,1000.8456310629845,3385.3726,51.324097,-8.824017,0.016464353,1.0,0.0,g,26.53699850463867,20251017142-022
1317.7664,959.3558,1317.8440232892308,959.3620622811304,0.026113927,0.02570035,260.12341021882577,58.000053456622275,2.6388757,0.0007518461,3895.296,33.97407,113.97007,1.0895692,114.525024,-8.976351,0.009471897,0,5.970864,0.6410611,0,29,1317.8248565644026,959.3327152431011,6873.8384,63.965576,-9.5929985,0.010105942,1.0,0.0,g,26.53699850463867,20251017142-022
957.12646,942.7862,957.2895992783285,942.7788932132496,0.003291825,0.0032469311,260.1570623176268,58.036629003807946,5.5458994,0.0015655194,732522.25,368.50662,1812.0209,1.0109673,3850.0525,-14.662052,0.0005463291,0,6.2401853,0.67961866,0,199,957.0955603942275,942.5542245805264,1167175.8,6430.6445,-15.167841,0.0059834006,1.0,0.0,g,26.53699850463867,20251017142-022
1293.1971,959.4892,1293.10127115262,959.4235969862066,0.054504763,0.053990446,260.1254832232254,58.002617041654936,1.8474212,0.00057845697,663.28455,17.333109,41.11666,1.3388779,36.232582,-7.05425,0.02837961,0,5.927002,0.37742144,0,22,1293.107888430357,959.4565733671188,2084.8542,56.723804,-8.297689,0.029547414,1.0,0.0,g,26.53699850463867,20251017142-022
