X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FWHMPSF_IMAGE,FWHMPSF_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
1275.7118,29.682877,1275.810706513979,29.675904242082602,0.055964455,0.055368416,260.02999663238796,57.92885303539348,2.7086709,0.0006744601,2.5,0.000281742,3519.9028,64.10366,51.02143,1.0096995,105.284454,-8.866326,0.019777982,0,5.9433627,0.97371453,0,18,1275.8770495057106,29.671016693115234,4809.0703,65.0712,-9.2051525,0.014694591,1.0,0.0,g,26.524,20251017135-101
1533.8706,18.71585,1533.9780520029306,18.620837280675577,0.12668769,0.12579206,260.0105578626856,57.901602170574165,1.9786818,0.00073346734,2.5,0.00028174164,481.32425,26.694542,17.941908,1.0611336,26.31762,-6.7060943,0.060230237,0,7.406681,0.68499976,0,25,1533.805073916912,18.588223427534103,1026.1592,55.10511,-7.528037,0.058318585,1.0,0.0,g,26.524,20251017135-101
706.4931,15.284939,706.5000232360394,15.42255499546843,0.17945084,0.17832497,260.0805127932125,57.98722495560252,2.3117273,0.0008551329,2.5,0.0002817423,400.10034,27.535477,14.739417,1.1329993,19.928364,-6.505422,0.07474007,0,5.965124,0.46204406,0,42,706.8627265691757,15.47380980849266,706.6752,47.10566,-7.1230497,0.07239075,1.0,0.0,g,26.524,20251017135-101
716.488,12.671854,715.9602258978138,13.121997887280788,0.22337282,0.20671308,260.0801675694994,57.986142743483214,2.713784,0.0008199964,2.5,0.0002817423,406.73495,28.97312,14.7150545,2.3553412,15.792862,-6.5232787,0.07735949,0,5.965467,0.3927015,0,318,715.6412488222122,14.218380093574524,649.06934,42.954826,-7.030728,0.071870506,1.0,0.0,g,26.524,20251017135-101
693.2638,8.788325,693.2400272015318,8.810985259532085,0.15536085,0.15181266,260.0829177826311,57.988306053925555,2.0395656,0.0006809229,2.5,0.0002817423,390.55902,25.23399,15.1974325,1.1825435,20.095028,-6.4792166,0.07016638,16,5.9680467,0.5113527,0,28,693.2531498074532,8.79038168489933,720.91736,37.864647,-7.144714,0.057039835,1.0,0.0,g,26.524,20251017135-101
1606.6798,1056.2473,1606.4924021701038,1056.0654446942265,0.15987961,0.13476072,259.8020542526512,57.93976467449609,2.324857,0.0009097382,2.5,0.00028174187,528.37067,29.898716,17.089762,1.9821745,35.0336,-6.807347,0.06145308,24,8.692796,0.47074044,0,48,1607.4993128478527,1056.41235563159,1031.9407,87.69656,-7.534137,0.09229064,1.0,0.0,g,26.524,20251017135-101
1523.676,1040.0265,1523.8035506352658,1040.0688275035159,0.14048707,0.1342377,259.8120509480665,57.94764591869163,2.2002103,0.00070260244,2.5,0.00028174202,524.47656,30.574532,18.054539,1.2832167,23.636345,-6.799315,0.06330872,0,9.513655,0.522882,0,23,1523.7602062523365,1039.9782269746065,905.1272,56.70566,-7.391774,0.068037234,1.0,0.0,g,26.524,20251017135-101
15.530377,1029.4185,15.769199084074616,1029.3705221941318,0.011062641,0.010962112,259.94004309068845,58.10364419656125,2.9217243,0.0006047304,2.5,0.00028174242,91306.92,304.02872,259.5534,1.0204974,2593.0903,-12.401259,0.0036161025,16,5.618397,0.98352665,0,31,15.739161759614944,1029.3995340168476,101943.32,462.69162,-12.520897,0.004929044,1.0,0.0,g,26.524,20251017135-101
1172.4846,1037.5443,1172.3650078025416,1037.6169275892048,0.19056302,0.18728673,259.8417709982756,57.98401362835312,1.7919672,0.0006001102,2.5,0.00028174242,222.73557,20.044617,11.18864,1.0119609,15.93257,-5.869474,0.097732276,0,6.0042815,0.38599727,0,29,1172.2932550013065,1037.5300267636776,439.49576,37.88618,-6.6073866,0.09361727,1.0,0.0,g,26.524,20251017135-101
924.94495,1031.7855,924.9927414713918,1031.79981716374,0.18906751,0.18250471,259.8635273497029,58.009428289622974,1.7556447,0.00069856335,2.5,0.00028174263,216.92218,19.520561,11.26478,1.2930962,14.888102,-5.8407598,0.09772781,0,5.553514,0.4567602,0,26,924.8896896913648,1031.8465088307858,452.62662,44.854412,-6.6393504,0.10762048,1.0,0.0,g,26.524,20251017135-101
