X_IMAGE,Y_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ALPHAWIN_J2000,DELTAWIN_J2000,FLUX_RADIUS,FWHM_WORLD,FWHMPSF_IMAGE,FWHMPSF_WORLD,FLUX_AUTO,FLUXERR_AUTO,SNR_WIN,ELONGATION,FLUX_MAX,MAG_AUTO,MAGERR_AUTO,FLAGS,BACKGROUND,CLASS_STAR,FLAGS_MODEL,NITER_MODEL,XMODEL_IMAGE,YMODEL_IMAGE,FLUX_POINTSOURCE,FLUXERR_POINTSOURCE,MAG_POINTSOURCE,MAGERR_POINTSOURCE,FLUXRATIO_POINTSOURCE,FLUXRATIOERR_POINTSOURCE,FILTER,PSF_ZP,OBS_IDENTIFIER
20.287127,17.873043,20.324114408029796,17.74047954982264,0.18388209,0.18145457,260.2580364444382,57.93831156372782,2.536469,0.0005881358,2.5,0.00028196358,450.1333,29.279747,15.772543,1.1455607,26.308863,-6.6333528,0.07064086,0,3.592756,0.35232696,0,43,20.30729976296425,17.472698867321014,1014.8876,49.606255,-7.5160446,0.053082127,1.0,0.0,g,26.447,20251017143-456
723.29065,1072.3928,723.5875958229943,1072.202837392748,0.03743735,0.037073232,259.99327998598636,57.9121288070772,3.038535,0.0007170752,2.5,0.00028196434,9208.0205,100.33744,83.18635,1.069929,221.17091,-9.910416,0.011833863,0,5.4572077,0.9751764,0,76,723.5809887051582,1072.3230425417423,9476.899,116.05005,-9.941666,0.01329869,1.0,0.0,g,26.447,20251017143-456
749.0511,1077.2177,748.8522767085293,1077.2378761854184,0.12982099,0.12539709,259.9901993383767,57.90972987003321,2.2488031,0.00075574213,2.5,0.00028196437,618.59143,31.071533,19.63271,1.1597012,25.585072,-6.97851,0.05454923,0,5.4405093,0.506053,0,31,748.9825128465891,1077.0779744684696,956.889,51.213364,-7.4521537,0.058123477,1.0,0.0,g,26.447,20251017143-456
868.6022,1066.4496,868.6422134639712,1066.444294454695,0.11206275,0.109864764,259.98237575005555,57.89682662757927,2.2696238,0.00071441266,2.5,0.00028196443,788.77216,33.36166,22.964619,1.0838675,33.415043,-7.2423787,0.045933116,0,4.7591805,0.68047,0,48,868.720084041357,1066.5530531406403,1177.5334,45.08781,-7.677433,0.04158299,1.0,0.0,g,26.447,20251017143-456
138.84515,1063.2001,138.95005597340554,1063.0664816572878,0.14725845,0.14038692,260.04365794822274,57.97236545209488,2.5170648,0.0012037564,2.5,0.00028196376,605.3629,31.582478,19.408121,1.1283486,26.65134,-6.9550395,0.056657866,0,6.572278,0.5712849,0,43,139.09910748898983,1063.098798468709,1099.625,64.29471,-7.6031117,0.06349806,1.0,0.0,g,26.447,20251017143-456
261.55383,1058.0846,261.8203708924814,1058.0452250230835,0.10432458,0.10137599,260.0344151641969,57.959400971713144,2.3405445,0.00075251865,2.5,0.00028196393,927.4573,35.80288,25.31478,1.1990618,37.881294,-7.418235,0.041923147,0,5.8648415,0.6595268,0,94,261.6999886035919,1057.8766741752625,1483.2102,66.70462,-7.9280066,0.048840832,1.0,0.0,g,26.447,20251017143-456
457.50134,1043.6462,457.67875246503434,1043.5783629943792,0.16930848,0.16490413,260.0209603407719,57.93844860254622,2.1027093,0.0007860989,2.5,0.00028196417,355.33997,24.579794,14.555257,1.1182859,19.116873,-6.3766103,0.075121455,0,5.4956875,0.51598257,0,48,457.639818161726,1043.2443163990974,679.0442,45.698727,-7.0797453,0.073086284,1.0,0.0,g,26.447,20251017143-456
440.70685,1034.821,440.8404227603995,1034.7620917857969,0.06259711,0.06213557,260.02408498981555,57.939805907419974,2.7593355,0.00072969834,2.5,0.00028196417,2991.9675,59.64463,47.070984,1.0312799,84.95581,-8.689892,0.021649322,0,5.268755,0.96888894,0,97,440.8043465614319,1034.5248903930187,3760.0037,68.68377,-8.937971,0.0198379,1.0,0.0,g,26.447,20251017143-456
1299.2719,1021.90784,1299.4134162542562,1021.8252642024684,0.11246705,0.11040931,259.95542155171927,57.85016625283659,2.4086902,0.000798726,2.5,0.00028196443,849.03424,34.798897,24.245787,1.0389624,30.361286,-7.322313,0.04451128,0,5.3096733,0.66704065,0,45,1299.5359004735947,1021.9566676802933,1044.6058,40.852207,-7.547381,0.04247104,1.0,0.0,g,26.447,20251017143-456
702.71747,1012.82324,702.8087601369067,1012.7916584171885,0.044062227,0.044013534,260.0066224491845,57.911663872732305,2.9300926,0.00071458064,2.5,0.0002819644,6263.7524,83.50168,68.68375,1.0515455,164.45428,-9.492086,0.014477395,0,4.745841,0.97816163,0,132,702.9250992462039,1012.6484259665012,6898.5747,86.139656,-9.596898,0.013560434,1.0,0.0,g,26.447,20251017143-456
1484.1781,1012.1003,1484.288402339218,1012.0016546841914,0.099936426,0.096847765,259.94205479463545,57.83054968274242,2.6101565,0.000823943,2.5,0.00028196434,1215.3777,41.022793,29.27125,1.2408549,39.39355,-7.711778,0.03665589,0,7.519121,0.5200237,0,34,1484.2391529232264,1012.026549719274,1347.9418,42.927498,-7.8241777,0.034585517,1.0,0.0,g,26.447,20251017143-456
1003.03766,999.066,1002.98308177147,998.9714004734071,0.18528564,0.1787593,259.98442812196015,57.87991513118383,2.2073162,0.0009580292,2.5,0.0002819645,347.59964,24.421833,14.128534,1.3678257,28.245308,-6.3526983,0.07630074,0,5.0340257,0.35105133,0,43,1002.9423323310912,998.715723156929,533.9225,33.7269,-6.8186955,0.06860062,1.0,0.0,g,26.447,20251017143-456
974.36066,994.9499,974.4316244496146,994.9565255717088,0.134843,0.13132109,259.9875789038871,57.88270016388663,2.1461232,0.00066544465,2.5,0.0002819645,519.32196,28.387482,18.192728,1.2171721,27.851297,-6.788592,0.05936357,0,5.135281,0.5873847,0,25,974.2516278624535,995.0044367648661,828.05347,39.49326,-7.295146,0.051795784,1.0,0.0,g,26.447,20251017143-456
1186.1946,990.20374,1186.2406851085243,990.2105166023681,0.09849013,0.097209774,259.9709608423526,57.86051623782418,2.4121168,0.0007336853,2.5,0.0002819645,1082.392,38.202114,27.335135,1.0269442,37.11163,-7.5859613,0.038329456,0,4.5554247,0.6819777,0,32,1186.2878114879131,990.2046454101801,1401.0173,41.482513,-7.866109,0.032155212,1.0,0.0,g,26.447,20251017143-456
1011.5257,988.31573,1011.6553894039052,988.3907471721025,0.12484272,0.124612294,259.98577685114856,57.87854899621654,2.1407921,0.00068749127,2.5,0.00028196452,577.90045,29.40115,19.542383,1.1634071,26.88442,-6.9046326,0.05525112,0,5.1835165,0.6524347,0,20,1011.5481861829758,988.4149985313416,897.69165,38.161232,-7.3828177,0.046166297,1.0,0.0,g,26.447,20251017143-456
835.69714,975.66815,835.7563725351996,975.671883000076,0.07839561,0.07806835,260.0028471194795,57.89623555286606,2.5757294,0.00070499437,2.5,0.0002819645,1774.4347,47.02941,35.81004,1.0153077,55.03141,-8.12265,0.028783219,0,4.1332355,0.91405225,0,34,835.8801815286279,975.6466868817806,2335.752,52.481865,-8.421067,0.024401266,1.0,0.0,g,26.447,20251017143-456
15.424627,974.4651,15.446309876612073,974.3948727768249,0.13838401,0.1365982,260.07131148452027,57.98125354943465,3.0371826,0.00077743834,2.5,0.0002819636,1020.0151,42.297924,24.007347,1.1362939,31.70763,-7.5215163,0.04503418,0,5.983291,0.25373036,0,54,15.537306189537048,974.4028494358063,1461.0718,55.25544,-7.911679,0.041070815,1.0,0.0,g,26.447,20251017143-456
520.4053,970.2818,520.5155184028513,970.2482677641103,0.059830267,0.059274565,260.0300841963339,57.9286941189273,2.7783136,0.0007207829,2.5,0.00028196428,3285.4006,62.237736,49.446888,1.039843,89.485695,-8.791471,0.020572888,0,5.2201586,0.9628257,0,49,520.5837190747261,970.2901710867882,4179.24,64.509926,-9.052743,0.016763281,1.0,0.0,g,26.447,20251017143-456
1334.809,954.4485,1335.0037064620012,954.3696481572159,0.01063241,0.010538859,259.9656479824687,57.8435022509425,3.2214844,0.0006941744,2.5,0.0002819645,120159.5,348.49515,299.86935,1.0285367,2718.174,-12.699395,0.0031496945,0,5.475551,0.9836503,0,298,1334.3032602667809,954.5328761339188,23349.986,927.859,-10.920716,0.04315441,1.0,0.0,g,26.447,20251017143-456
1054.2241,963.5002,1054.3056745586362,963.5115314545628,0.12689689,0.12434115,259.98710336593206,57.87302749866917,2.2049325,0.00077016064,2.5,0.00028196452,594.48895,29.681917,20.059862,1.1799732,24.952011,-6.9353595,0.054222308,0,5.2130322,0.6308767,0,23,1054.3129675090313,963.397989988327,914.9052,47.139214,-7.4034405,0.055954635,1.0,0.0,g,26.447,20251017143-456
350.2752,961.5051,350.26912899824185,961.5737740056904,0.20265001,0.19729517,260.045938398971,57.94596717176674,2.123371,0.0006862758,2.5,0.0002819641,281.9376,22.542034,12.389473,1.0542865,13.03844,-6.1253824,0.08683003,0,5.2446113,0.47046247,0,24,350.3172870874405,961.5943963825703,521.8593,40.981377,-6.793884,0.08528309,1.0,0.0,g,26.447,20251017143-456
778.3957,959.6413,778.460478959027,959.6533788037143,0.14961576,0.14900272,260.0107325887244,57.901472165910754,2.1467454,0.0008348368,2.5,0.00028196446,436.3835,25.740808,16.577072,1.1112272,20.16141,-6.599671,0.06405952,0,3.9280562,0.6565182,0,39,778.5029207468033,959.6082364320755,741.50586,39.156868,-7.1752863,0.05734865,1.0,0.0,g,26.447,20251017143-456
950.0865,930.4805,950.212950923534,930.4161486858167,0.15344626,0.15291741,260.00219796998493,57.882366407272436,1.894816,0.0007943664,2.5,0.00028196455,332.38254,22.657164,14.59809,1.0256552,19.112112,-6.3040953,0.074028194,0,4.135249,0.53139794,0,30,950.0912316888571,930.5328198075294,640.4144,31.881416,-7.016153,0.05406377,1.0,0.0,g,26.447,20251017143-456
37.617493,857.9413,37.58815742272146,857.9738245889772,0.007642407,0.0075596455,260.0922618743786,57.97380834011534,8.902137,0.0025748766,2.5,0.00028196373,1916132.1,1387.8944,1234.9982,1.0413623,3915.993,-15.706063,0.0007866124,26,5.7956586,0.8427472,0,64,37.6900132894516,857.9862751625478,727546.94,9761.19,-14.654653,0.014570404,1.0,0.0,g,26.447,20251017143-456
8.13983,790.8789,8.17435036300104,790.7820953562242,0.026653226,0.026181525,260.10786957880634,57.9738837213304,3.5567894,0.00070447713,2.5,0.0002819637,23924.998,160.58464,129.97002,1.3544916,472.93637,-10.94713,0.0072892345,27,5.729637,0.8568693,0,7,8.25278127193451,790.7964491248131,25318.213,327.66174,-11.008583,0.014054731,1.0,0.0,g,26.447,20251017143-456
698.8786,910.9141,698.9122338389191,911.0224824953373,0.11792686,0.11585944,260.02684396619344,57.9075767364371,2.3429604,0.00073266245,2.5,0.00028196446,747.3489,32.503796,22.492197,1.077041,31.33934,-7.1838083,0.047232457,0,4.107585,0.5917643,0,22,699.0277368575335,911.0119545543566,1195.8389,51.90694,-7.6941814,0.047139242,1.0,0.0,g,26.447,20251017143-456
174.28905,907.2031,174.4468865745907,907.1429130515643,0.044052012,0.043853194,260.07122901252995,57.961793575679394,2.9308698,0.00071230193,2.5,0.0002819639,6244.28,83.56565,68.75417,1.0305127,162.64893,-9.488706,0.014533669,0,6.5198946,0.97138965,0,60,174.5677227973938,907.386080801487,7477.2866,100.36238,-9.6843605,0.014576618,1.0,0.0,g,26.447,20251017143-456
1157.205,902.51996,1157.070782237471,902.6205452466494,0.16433744,0.16197252,259.9904824413258,57.85968182460123,1.8491011,0.0008214841,2.5,0.00028196457,289.69617,21.867805,13.41692,1.2457684,22.367367,-6.1548567,0.08197705,0,5.2552967,0.40854737,0,34,1156.8574377894402,902.6187401413918,504.2443,28.58345,-6.7566023,0.06156069,1.0,0.0,g,26.447,20251017143-456
679.3998,898.0448,679.3407553111604,897.9927097855427,0.1553257,0.15174244,260.0310169358576,57.90903132545575,1.9410709,0.00074259547,2.5,0.00028196446,341.2149,23.178865,14.757594,1.2087183,19.214724,-6.33257,0.073772416,0,4.179901,0.44334832,0,34,679.2803868949413,897.9939162842929,681.00275,34.42348,-7.0828724,0.054895375,1.0,0.0,g,26.447,20251017143-456
111.97047,886.8939,111.98526787316467,886.7165680534545,0.16182907,0.16028535,260.0804322681386,57.967366571516564,2.438264,0.00086379953,2.5,0.00028196385,496.40353,33.49984,17.630901,1.0483747,17.261845,-6.7395873,0.07328881,0,8.352518,0.20235196,0,40,112.03628861904144,886.6320575475693,1092.6971,51.29333,-7.5962496,0.050978955,1.0,0.0,g,26.447,20251017143-456
367.34158,873.9991,367.44763867631275,874.006645093397,0.17483225,0.17188364,260.0616420654869,57.94031626829368,2.0103204,0.0007748192,2.5,0.0002819642,327.57843,23.046986,13.561964,1.2326481,18.471554,-6.288288,0.07640621,0,4.111656,0.38980803,0,42,367.4254588484764,874.2007783204317,594.0078,41.450638,-6.93448,0.07578249,1.0,0.0,g,26.447,20251017143-456
248.63379,860.62134,248.793796568693,860.5850561607666,0.1942044,0.19268554,260.07414758614124,57.952026094159095,1.9246684,0.0006550701,2.5,0.00028196405,244.53372,21.346172,11.702407,1.1679333,13.156144,-5.970847,0.0948006,0,5.4049034,0.40934196,0,23,248.85864681005478,860.5261263847351,575.0509,39.51262,-6.899266,0.07462071,1.0,0.0,g,26.447,20251017143-456
1595.5951,854.589,1595.595861799991,854.2023479071926,0.20385985,0.20282945,259.96364569086506,57.81205128934363,2.1004732,0.00065998686,2.5,0.00028196437,272.33932,22.829052,12.17376,1.1782826,13.33231,-6.0877757,0.09103478,0,7.0761285,0.42644012,0,43,1595.8430954813957,854.1588723659515,374.47556,33.248745,-6.4335585,0.096423216,1.0,0.0,g,26.447,20251017143-456
1467.1229,830.06647,1467.1836324817841,830.0224033351159,0.19183686,0.18398537,259.97898105780916,57.824309014516786,1.837487,0.00067798386,2.5,0.0002819645,232.4701,20.881935,11.383269,1.6279904,17.651829,-5.915918,0.09755139,0,6.056707,0.3479581,0,45,1467.479421645403,830.1221036761999,356.2706,34.506107,-6.37945,0.105183065,1.0,0.0,g,26.447,20251017143-456
1134.7957,821.9759,1134.9100767167402,821.9277474902588,0.15566823,0.15531956,260.0080754430767,57.85842166786186,2.2394526,0.0008478587,2.5,0.0002819646,457.70496,27.002811,16.350815,1.1930991,20.394722,-6.651464,0.06406978,0,3.9714675,0.5816571,0,34,1135.0300001148134,821.8409680873156,643.4595,35.364094,-7.021303,0.05968582,1.0,0.0,g,26.447,20251017143-456
379.75568,821.4068,379.999683785772,821.3194798579874,0.11921926,0.11736891,260.07090373339577,57.93668552835042,2.3884616,0.0007438629,2.5,0.00028196422,768.3077,32.939274,22.568014,1.0237877,28.13167,-7.213838,0.04655954,0,4.1857386,0.53860265,0,33,380.042431935668,821.2280734181404,1276.4745,40.863358,-7.7650304,0.03476576,1.0,0.0,g,26.447,20251017143-456
1360.176,817.9706,1360.2525108877057,817.9482884074439,0.07075837,0.069085255,259.9901859943098,57.83487025912235,2.7270784,0.0007430917,2.5,0.00028196455,2389.6694,54.222717,41.782063,1.0645379,69.392365,-8.445845,0.024641847,0,5.535977,0.945287,0,40,1360.4140049219131,817.9024338200688,2344.8457,54.526215,-8.425285,0.025253462,1.0,0.0,g,26.447,20251017143-456
945.24927,796.50366,945.4048049628456,796.4459649141907,0.104638524,0.10378633,260.0287691884029,57.876952979220405,2.3167436,0.000682099,2.5,0.0002819646,897.97485,35.388752,24.660126,1.0677587,36.63284,-7.3831606,0.04279873,0,4.746026,0.73466694,0,20,945.3673539757729,796.416889488697,1299.4542,52.00083,-7.7844024,0.04345894,1.0,0.0,g,26.447,20251017143-456
111.5214,792.96747,111.58654457078887,792.8030909387343,0.11113527,0.11053222,260.09884760577273,57.96325279711313,2.7101097,0.0007412492,2.5,0.00028196388,1097.4498,42.588352,26.821787,1.0431324,31.337242,-7.6009617,0.042144023,0,7.3981404,0.4292425,0,78,111.55708315968513,792.7824940383434,1773.0662,60.425365,-8.121813,0.037010435,1.0,0.0,g,26.447,20251017143-456
1076.6074,773.7169,1076.8506987639457,773.6690864555102,0.009971215,0.009919154,260.0223120640271,57.86231419874254,3.230799,0.00069979497,2.5,0.00028196463,136928.36,371.76633,320.41177,1.0230486,3039.554,-12.841233,0.0029485363,0,4.2364883,0.9854609,0,105,1076.6438754796982,773.5393702089787,105159.234,944.4687,-12.554619,0.009753713,1.0,0.0,g,26.447,20251017143-456
1541.7001,782.57416,1541.696680081356,782.485639556824,0.07421767,0.07253629,259.9820906833771,57.814483241258735,2.7430968,0.00076594704,2.5,0.00028196446,2231.7058,53.102173,40.153046,1.0741974,61.00724,-8.3715925,0.025840754,0,7.1339326,0.8509808,0,41,1541.7075803279877,782.5890828669071,1967.0614,46.43828,-8.234545,0.025638228,1.0,0.0,g,26.447,20251017143-456
40.87045,782.1068,40.73808277435164,781.9379149909572,0.15560675,0.15112783,260.10688379328013,57.970116495476,2.2535086,0.0012826441,2.5,0.00028196376,429.1121,38.336124,17.466488,1.0758519,25.994637,-6.581427,0.09702134,0,9.955126,0.047519136,0,23,40.872496247291565,782.3030254244804,1234.0232,75.91775,-7.728308,0.066811286,1.0,0.0,g,26.447,20251017143-456
259.8281,777.268,259.91882298446933,777.3314087703345,0.18831412,0.18297781,260.0895100220829,57.94719016026695,2.227125,0.00090885116,2.5,0.0002819641,327.47028,24.472782,14.058601,1.5536908,14.965882,-6.2879295,0.08115986,0,5.653895,0.29946536,0,24,260.2985460162163,777.2128091454506,697.59296,47.08824,-7.1090055,0.07330611,1.0,0.0,g,26.447,20251017143-456
646.20776,771.28174,646.2244247828633,771.2640002912383,0.21360591,0.20542273,260.05854174642985,57.90686738386957,1.7862668,0.0005872044,2.5,0.0002819645,182.65346,18.260813,10.2191305,1.6378783,13.368193,-5.65407,0.10857305,0,4.359343,0.36015868,0,22,645.9760499279946,771.3713280260563,410.7739,31.243587,-6.534007,0.08260149,1.0,0.0,g,26.447,20251017143-456
838.2566,767.7458,838.4931251535425,767.8720736250177,0.14921825,0.14835536,260.04322705713855,57.8867790160235,1.9781764,0.00056329236,2.5,0.0002819646,362.359,24.56919,14.983342,1.0610498,25.774982,-6.3978477,0.07363454,0,4.85866,0.35387307,0,23,838.3982706665993,767.6984155774117,692.6739,30.392302,-7.101322,0.047650184,1.0,0.0,g,26.447,20251017143-456
